영문공항명,한글공항,공항코드1(IATA),공항코드2(ICAO),지역,영문국가명,한글국가명,영문도시명
Bundaberg Airport,번더버그 공항,BDB,YBUD,대양주,Australia,오스트레일리아,Bundaberg
Badu Island Airport,바두 아일랜드 공항,BDD,YBAU,대양주,Australia,오스트레일리아,Badu Island
Bandar Lengeh Airport,반다르 렝게 공항,BDH,OIBL,중동아프리카,Iran,이란,Bandar Lengeh
Syamsudin Noor Airport,샴수단 누르 공항,BDJ,WAOO,아시아태평양,Indonesia,인도네시아,Banjarmasin
Bradley International Airport,브래들리 국제 공항,BDL,KBDL,북미캐나다,United States,미국,Windsor Locks
Husein Sastranegara International Airport,후세인 사스트라네가라 국제공항,BDO,WICC,아시아태평양,Indonesia,인도네시아,Bandung
Bhadrapur Airport,바드라푸르 공항,BDP,VNCG,아시아태평양,Nepal,네팔,Bhadrapur-Chandragadhi
Vadodara Airport,바도다라 공항,BDQ,VABO,아시아태평양,India,인도,Vadodara
Igor I. Sikorsky Memorial Airport,이고르 I. 시코르스키 메모리얼 공항,BDR,KBDR,북미캐나다,United States,미국,Bridgeport
Brindisi Salento Airport,브린디시 살렌토 공항,BDS,LIBR,유럽,Italy,이탈리아,Brindisi
Bardufoss Airport,바두포스 공항,BDU,ENDU,유럽,Norway,노르웨이,Bardufoss
Benbecula Airport,벤베큘라 공항,BEB,EGPL,유럽,United Kingdom,영국,Benbecula
Laurence G. Hanscom Field,로렌스 지 핸스컴 필드,BED,KBED,북미캐나다,United States,미국,Bedford
BlueField Airport,블루필즈 공항,BEF,MNBL,중남미,Nicaragua,니카라과,Bluefields
Belgrade Nikola Tesla Airport,베오그라드 니콜라 테슬라 공항,BEG,LYBE,유럽,Serbia,세르비아,Belgrade
Kalimarau Airport,칼리마라우 공항,BEJ,WALK,아시아태평양,Indonesia,인도네시아,Tanjung Redeb
Bareilly Airport,바레일리 공항,BEK,VIBY,아시아태평양,India,인도,Bareilly
Val de Cans International Airport,발 드 꺉 국제 공항,BEL,SBBE,중남미,Brazil,브라질,Belem
Beni Mellal Airport,베니 멜랄 공항,BEM,FEFL,중동아프리카,Morocco,모로코,Beni Mellal
Benina International Airport,베니나 국제 공항,BEN,HLLB,중동아프리카,Libya,리비아,Benghazi
Lake Macquarie Airport,레이크 맥쿼리 공항,BEO,YLMQ,대양주,Australia,오스트레일리아,Newcastle
Bellary Airport,벨라리 공항,BEP,VOBI,아시아태평양,India,인도,Bellary
Berlin Brandenburg Airport,베를린 브란덴부르크 공항,BER,EDDB,유럽,Germany,독일,Berlin
Brest Bretagne Airport,브레스트 브르타뉴 공항,BES,LFRB,유럽,France,프랑스,Brest
Bethel Airport,베델 공항,BET,PABE,북미캐나다,United States,미국,Bethel
Bedourie Airport,베두리 공항,BEU,YBIE,대양주,Australia,오스트레일리아,Bedourie
Beira Airport,베이라 공항,BEW,FQBR,중동아프리카,Mozambique,모잠비크,Beira
Beirut Rafic Hariri International Airport,베이루트 라픽 하리리 국제공항,BEY,OLBA,중동아프리카,Lebanon,레바논,Beirut
Beru Island Airport,베루 섬 공항,BEZ,NGBR,아시아태평양,Kiribati,키리바시,Beru Island
BloomFieldAirport,블룸필드 공항,BFC,,대양주,Australia,오스트레일리아,Bloomfield
Bradford Regional Airport,브래드퍼드 공항,BFD,KBFD,북미캐나다,United States,미국,Bradford
Western Nebraska Regional Airport,웨스턴 네브래스카 리저널 공항,BFF,KBFF,북미캐나다,United States,미국,Scottsbluff
Bacacheri Airport,바카체리 공항,BFH,SBBI,중남미,Brazil,브라질,Curitiba
Boeing FieldKing County International Airport,보잉 필드/킹 카운티 국제공항,BFI,KBFI,북미캐나다,United States,미국,Seattle
Bijie Feixiong Airport,비지에 페이슝 공항,BFJ,,아시아태평양,China,중국,Bijie
Meadows FieldAirport,메도우즈 필드 공항,BFL,KBFL,북미캐나다,United States,미국,Bakersfield
Mobile Downtown Airport,모빌 다운타운 공항,BFM,KBFM,북미캐나다,United States,미국,Mobile
Bloemfontein Airport,블룸폰테인 공항,BFN,FABL,중동아프리카,South Africa,남아프리카,Bloemfontein
Buffalo Range Airport,버팔로 레인지 공항,BFO,FVCZ,중동아프리카,Zimbabwe,짐바브웨,Chiredzi
BahIa Pina Airport,바이아피냐 공항,BFQ,,중남미,Panama,파나마,Puerto Pina
Belfast International Airport,벨파스트 국제 공항,BFS,EGAA,유럽,United Kingdom,영국,Belfast
Beaufort County Airport,보퍼트 카운티 공항,BFT,KARW,북미캐나다,United States,미국,Beaufort County
Bengbu Airport,방부공항,BFU,ZSBB,아시아태평양,China,중국,Bengbu
Buriram Airport,부리람 공항,BFV,VTUO,아시아태평양,Thailand,태국,Buriram
Bafoussam Airport,바푸샴 공항,BFX,FKKU,중동아프리카,Cameroon,카메룬,Bafoussam
Palonegro International Airport,팔로 네그로 공항,BGA,SKBG,중남미,Colombia,콜롬비아,Bucaramanga
Braganca Airport,브라간사 공항,BGC,LPBG,유럽,Portugal,포르투갈,Braganca
Bangui M'Poko International Airport,방기 음포코 국제공항,BGF,FEFF,중동아프리카,Central African Republic,중앙아프리카공화국,Bangui
Bingl Airport,빙골 공항,BGG,LTCU,유럽,Turkey,터키,Bingl
Grantley Adams International Airport,그랜틀리 아담스 국제공항,BGI,TBPB,중남미,Barbados,바베이도스,Bridgetown
Baglung Airport,바그룽 공항,BGL,VNBL,아시아태평양,Nepal,네팔,Baglung
Greater Binghamton Airport,그레이터 빙엄턴 공항,BGM,KBGM,북미캐나다,United States,미국,Binghamton
Belaya Gora Airport,벨라야 고라 공항,BGN,ETUR,유럽,Russia,러시아,Belaya Gora
Bergen Airport Flesland,플레스랜드 공항,BGO,ENBR,유럽,Norway,노르웨이,Bergen
Bangor International Airport,뱅거 국제공항,BGR,KBGR,북미캐나다,United States,미국,Bangor
Baghdad International Airport,바그다드 국제 공항,BGW,ORBI,중동아프리카,Iraq,이라크,Baghdad
Comandante Gustavo Kraemer Airport,코만단테 구스타보 크라이머 공항,BGX,SBBG,중남미,Brazil,브라질,Bage
Il Caravaggio International Airport,일 카라바조 국제공항,BGY,LIME,유럽,Italy,이탈리아,Milan
Hancock County Bar Harbor Airport,핸콕 카운티 바 하버 공항,BHB,KBHB,북미캐나다,United States,미국,Bar Harbor
George Best Belfast City Airport,조지 베스트 벨파스트 시티 공항,BHD,EGAC,유럽,United Kingdom,영국,Belfast
Woodbourne Airport,우드본 공항,BHE,NZWB,아시아태평양,New Zealand,뉴질랜드,Blenheim
Brus Laguna Airport,브루스 라구나 공항,BHG,MHBL,유럽,Honduras,온두라스,Brus Laguna
Bisha Domestic Airport,비샤 국내선 공항,BHH,OEBH,중동아프리카,Saudi Arabia,사우디아라비아,Bisha
Comandante Espora Airport,코망단트 에스포라 공항,BHI,SAZB,중남미,Argentina,아르헨티나,BahIa Blanca
Bhuj Airport,부지 공항,BHJ,VABJ,아시아태평양,India,인도,Bhuj
Bukhara International Airport,부하라 국제 공항,BHK,UTSB,아시아태평양,Uzbekistan,우즈베키스탄,Bukhara
Birmingham Shuttlesworth International Airport,버밍엄 셔틀스워스 국제공항,BHM,KBHM,북미캐나다,United States,미국,Birmingham
Raja Bhoj Airport,라자 보즈 공항,BHO,VABP,아시아태평양,India,인도,Bhopal
Bhojpur Airport,보즈푸르 공항,BHP,VNBJ,아시아태평양,Nepal,네팔,Bhojpur
Broken Hill Airport,브로큰 힐 공항,BHQ,YBHI,대양주,Australia,오스트레일리아,Broken Hill
Bharatpur Airport,바랏푸르 공항,BHR,VNBP,아시아태평양,Nepal,네팔,Bharatpur
Bathurst Airport,배서스트 공항,BHS,YBTH,대양주,Australia,오스트레일리아,Bathurst
Bhavnagar Airport,바브나가르 공항,BHU,VABV,아시아태평양,India,인도,Bhavnagar
Bahawalpur Airport,바하왈푸르 공항,BHV,OPBW,중동아프리카,Pakistan,파키스탄,Bahawalpur
Birmingham Airport,버밍엄 공항,BHX,EGBB,유럽,United Kingdom,영국,Birmingham
Beihai Fucheng Airport,베이하이 푸청 공항,BHY,ZGBH,아시아태평양,China,중국,Beihai
Bastia Poretta Airport,바스티아 포레타 공항,BIA,LFKB,유럽,France,프랑스,Bastia
Baidoa Airport,바이도아 공항,BIB,HCMB,중동아프리카,Somalia,소말리아,Baidoa
Block Island State Airport,블록 아일랜드 스테이트 공항,BID,KBID,북미캐나다,United States,미국,Block Island
Biggs Army Airfield,빅스 육군 비행장,BIF,KBIF,북미캐나다,United States,미국,El Paso
Eastern Sierra Regional Airport,이스턴 시에라 공항,BIH,KBIH,북미캐나다,United States,미국,Bishop
Bikini Atoll Airport,비키니 아톨 공항,BII,,아시아태평양,Marshall Islands,마샬 군도,Bikini Atoll
Frans Kaisiepo Airport,프란스 카이시에포 공항,BIK,WABB,아시아태평양,Indonesia,인도네시아,Biak
Billings Logan International Airport,빌링스 로건 국제 공항,BIL,KBIL,북미캐나다,United States,미국,Billings
South Bimini Airport,사우스 비미니 공항,BIM,MYBS,중남미,Bahamas,바하마,Bimini
Bamyan Airport,바미얀 공항,BIN,OABN,중동아프리카,Afghanistan,아프가니스탄,Bamyan
Bilbao Airport,빌바오 공항,BIO,LEBB,유럽,Spain,스페인,Bilbao
Biarritz Pays Basque Airport,비아리츠 페이 바스크 공항,BIQ,LFBZ,유럽,France,프랑스,Biarritz
Biratnagar Airport,비랏나가르 공항,BIR,VNVT,아시아태평양,Nepal,네팔,Biratnagar
Bismarck Municipal Airport,비스마르크 공항,BIS,KBIS,북미캐나다,United States,미국,Bismarck
BIldudalur Airport,빌두달루르 공항,BIU,BIBD,유럽,Iceland,아이슬란드,BIldudalur
Soummam Abane Ramdane Airport,아바네 람데인 공항,BJA,DAAE,중동아프리카,Algeria,알제리,Bejaia
Bojnord Airport,보이노르드 공항,BJB,OIMN,중동아프리카,Iran,이란,Bojnord
Rocky Mountain Metropolitan Airport,록키 마운틴 메트로폴리탄 공항,BJC,KBJC,북미캐나다,United States,미국,Denver
Batsfjord Airport,보츠피오르 공항,BJF,ENBS,유럽,Norway,노르웨이,Batsfjord
Bemidji Regional Airport,베미지 지역공항,BJI,KBJI,북미캐나다,United States,미국,Bemidji
Banjul International Airport,반줄 국제공항,BJL,GBYD,중동아프리카,Gambia,감비아,Banjul
Bujumbura International Airport,부줌부라 국제공항,BJM,HBBA,중동아프리카,Burundi,부룬디,Bujumbura
Bahir Dar Airport,바히르 다르 공항,BJR,HABD,중동아프리카,Ethiopia,이디오피아,Bahir Dar
Bentota River Airport,벤토타 리버 공항,BJT,,아시아태평양,Sri Lanka,스리랑카,Bentota
Bajura Airport,바주라 공항,BJU,VNBR,아시아태평양,Nepal,네팔,Bajura
Milas Bodrum Airport,밀라스 보드룸 공항,BJV,LTFE,유럽,Turkey,터키,Bodrum
Bajawa Soa Airport,바자와 소아 공항,BJW,WATB,아시아태평양,Indonesia,인도네시아,Bajawa
Del BajIo International Airport,델 바히오 국제공항,BJX,MMLO,중남미,Mexico,멕시코,Leon
Badajoz Airport,바다호스 공항,BJZ,LEBZ,유럽,Spain,스페인,Badajoz
Nal Airport,날 공항,BKB,VIBK,아시아태평양,India,인도,Bikaner
Buckland Airport,버클랜드 공항,BKC,PABL,북미캐나다,United States,미국,Buckland
Branson Airport,브랜슨 공항,BKG,KBBG,북미캐나다,United States,미국,Branson
Kota Kinabalu International Airport,코타키나발루 국제공항,BKI,WBKK,아시아태평양,Malaysia,말레이시아,Kota Kinabalu
Suvarnabhumi Airport,수완나품 공항,BKK,VTBS,아시아태평양,Thailand,태국,Bangkok
Cleveland Burke Lakefront Airport,클리블랜드 버크 레이크프론트 공항,BKL,KBKL,북미캐나다,United States,미국,Cleveland
Bakelalan Airport,바켈랄란 공항,BKM,WBGQ,아시아태평양,Malaysia,말레이시아,Bakelalan
Balkanabat Airport,발카나바트 공항,BKN,,중동아프리카,Niger,니제르,Balkanabat
Bamako Senou International Airport,바마코 세누 국제공항,BKO,GABS,중동아프리카,Mali,말리,Bamako
Blackall Airport,블랙올 공항,BKQ,YBCK,대양주,Australia,오스트레일리아,Blackall
Fatmawati Soekarno Airport,파트마와티 수카르노 공항,BKS,WIPL,아시아태평양,Indonesia,인도네시아,Bengkulu
Raleigh County Memorial Airport,롤리 카운티 메모리얼 공항,BKW,KBKW,북미캐나다,United States,미국,Beckley
Brookings Regional Airport,브루킹스 공항,BKX,KBKX,북미캐나다,United States,미국,Brookings
Kavumu Airport,카부무 공항,BKY,FZMA,중동아프리카,"Congo, Democratic Republic of",콩고 민주공화국,Bukavu
Bukoba Airport,부코바 공항,BKZ,HTBU,중동아프리카,Tanzania,탄자니아,Bukoba
General Jose Antonio Anzoategui International Airport,제너럴 호세 안토니오 안조아테구이 국제공항,BLA,SVBC,중남미,Venezuela,베네수엘라,Barcelona
Panama PacIfico International Airport,파나마 파시피코 국제공항,BLB,MPPA,중남미,Panama,파나마,Panama Pacifico
Boulder City Municipal Airport,볼더 시티 시립공항,BLD,KBVU,북미캐나다,United States,미국,Boulder City
Dala Airport,달라 공항,BLE,ESSD,유럽,Sweden,스웨덴,BorlAnge
Bellingham International Airport,벨링햄 국제 공항,BLI,KBLI,북미캐나다,United States,미국,Bellingham
Mostepha Ben Boulaid Airport,모스테파 벤 불레이드 공항,BLJ,DABT,중동아프리카,Algeria,알제리,Batna
Blackpool Airport,블랙풀 공항,BLK,EGNH,유럽,United Kingdom,영국,Blackpool
Billund Airport,빌룬드 공항,BLL,EKBI,유럽,Denmark,덴마크,Billund
Bologna Guglielmo Marconi Airport,볼로냐 굴리엘모 마르코니 공항,BLQ,LIPE,유럽,Italy,이탈리아,Bologna
Kempegowda International Airport,켐페고다 국제 공항,BLR,VOBL,아시아태평양,India,인도,Bangalore
Blue Canyon Nyack Airport,블루 캐니언 나이액 공항,BLU,KBLU,북미캐나다,United States,미국,Emigrant Gap
MidAmerica St. Louis Airport,미드아메리카 세인트루이스 공항,BLV,KBLV,북미캐나다,United States,미국,Belleville
Chileka International Airport,칠레카 국제 공항,BLZ,FWCL,중동아프리카,Malawi,말라위,Blantyre
Stockholm Bromma Airport,스톡홀름 브롬마 공항,BMA,ESSB,유럽,Sweden,스웨덴,Stockholm
Bumba Airport,붐바 공항,BMB,FZFU,중동아프리카,"Congo, Democratic Republic of",콩고 민주공화국,Bumba
Belo sur Tsiribihina Airport,벨로 수르 치리비히나 공항,BMD,FMML,중동아프리카,Madagascar,마다가스카르,Belo sur Tsiribihina
Broome International Airport,브룸 국제 공항,BME,YBRM,대양주,Australia,오스트레일리아,Broome
Monroe County Airport,먼로 카운티 공항,BMG,KBMG,북미캐나다,United States,미국,Bloomington
Central Illinois Regional Airport,센트럴 일리노이 공항,BMI,KBMI,북미캐나다,United States,미국,Bloomington
Borkum Airfield,보르쿰 비행장,BMK,EDWR,유럽,Germany,독일,Borkum
Bhamo Airport,바모 공항,BMO,VYBM,아시아태평양,Myanmar,미얀마,Bhamo
Brampton Island Airport,브램턴 아일랜드 공항,BMP,YBPI,대양주,Australia,오스트레일리아,Brampton Island
Sultan Muhammad Salahudin Airport,술탄 무하마드 살라후딘 공항,BMU,WADB,아시아태평양,Indonesia,인도네시아,Bima
Buon Ma Thuot Airport,부온마투옷 공항,BMV,VVBM,아시아태평양,Vietnam,베트남,Buon Ma Thuot
Bordj Mokhtar Airport,보르지 모크타르 공항,BMW,DATM,중동아프리카,Algeria,알제리,Bordj Badji Mokhtar
Ile Art Waala Airport,일 아트 와알라 공항,BMY,NWWC,아시아태평양,New Caledonia,뉴칼레도니아,Waala
Nashville International Airport,내슈빌 국제 공항,BNA,KBNA,북미캐나다,United States,미국,Nashville
Boende Airport,보엔데 공항,BNB,FZGN,중동아프리카,"Congo, Democratic Republic of",콩고 민주공화국,Boende
Beni Airport,베니 공항,BNC,FZNP,중동아프리카,"Congo, Democratic Republic of",콩고 민주공화국,Beni
Bandar Abbas International Airport,반다르아바스 국제공항,BND,OIKB,중동아프리카,Iran,이란,Bandar Abbas
Brisbane Airport,브리즈번 공항,BNE,YBBN,대양주,Australia,오스트레일리아,Brisbane
Benin Airport,베냉 공항,BNI,DNBE,중동아프리카,Nigeria,나이지리아,Benin City
Ballina Byron Gateway Airport,발리나 바이런 게이트웨이 공항,BNK,YBNA,대양주,Australia,오스트레일리아,Ballina
Bronnoysund Airport Bronnoy,브로노이 공항,BNN,ENBN,유럽,Norway,노르웨이,Bronnoysund
Barinas Airport,바리나스 공항,BNS,SVBI,중남미,Venezuela,베네수엘라,Barinas
Banja Luka International Airport,바냐루카 국제공항,BNX,LQBK,유럽,Bosnia and Herzegovina,보스니아 헤르체고비나,Banja Luka
Bellona/Anua Airport,벨로나/아누아 공항,BNY,AGGB,아시아태평양,Solomon Islands,솔로몬 제도,Bellona Island
Boma Airport,보마 공항,BOA,FZAJ,중동아프리카,"Congo, Democratic Republic of",콩고 민주공화국,Boma
Bora Bora Airport,보라보라 공항,BOB,NTTB,아시아태평양,French Polynesia,프랑스령 폴리네시아,Bora Bora
"Bocas del Toro ""Isla Colon"" International Airport","보카스 델 토로 ""이슬라 콜론"" 국제공항",BOC,MPBO,중남미,Panama,파나마,Bocas Town
Bordeaux Merignac Airport,보르도 메리냑 공항,BOD,LFBD,유럽,France,프랑스,Bordeaux
El Dorado International Airport,엘도라도 국제 공항,BOG,SKBO,중남미,Colombia,콜롬비아,Bogota
Bournemouth Airport,본머스 공항,BOH,EGHH,유럽,United Kingdom,영국,Bournemouth
Boise Air Terminal ,보이시 에어터미널 ,BOI,KBOI,북미캐나다,United States,미국,Boise
